ticker_raw,name_cn,sub_industry,gics_sector,hs_sector,code
1208 HK,五矿资源,工业金属,Materials,原材料业,1208.HK
1258 HK,中国有色矿业,工业金属,Materials,原材料业,1258.HK
1378 HK,中国宏桥,工业金属,Materials,原材料业,1378.HK
2600 HK,中国铝业,工业金属,Materials,原材料业,2600.HK
2788 HK,创新实业,工业金属,Materials,原材料业,2788.HK
1772 HK,赣锋锂业,能源金属/小金属,Materials,原材料业,1772.HK
9696 HK,天齐锂业,能源金属/小金属,Materials,原材料业,9696.HK
6680 HK,金力永磁,能源金属/小金属,Industrials,原材料业,6680.HK
3858 HK,佳鑫国际资源,能源金属/小金属,Materials,原材料业,3858.HK
189 HK,东岳集团,化工,Materials,原材料业,0189.HK
2465 HK,龙蟠科技,化工,Materials,原材料业,2465.HK
1866 HK,中国心连心化肥,化工,Materials,原材料业,1866.HK
914 HK,海螺水泥,建材,Materials,原材料业,0914.HK
6655 HK,华新建材,建材,Materials,原材料业,6655.HK
3323 HK,中国建材,建材,Materials,原材料业,3323.HK
6166 HK,剑桥科技,AI算力,Information Technology,资讯科技业,6166.HK
6869 HK,长飞光纤光缆,AI算力,Information Technology,资讯科技业,6869.HK
6088 HK,鸿腾精密,AI算力,Information Technology,资讯科技业,6088.HK
9981 HK,沃尔核材,AI算力,Industrials,资讯科技业,9981.HK
2476 HK,胜宏科技,AI算力,Information Technology,资讯科技业,2476.HK
148 HK,建滔集团,AI算力,Information Technology,资讯科技业,0148.HK
1888 HK,建滔积层板,AI算力,Information Technology,原材料业,1888.HK
2631 HK,天岳先进,AI算力,Information Technology,资讯科技业,2631.HK
3200 HK,大族数控,AI算力,Industrials,资讯科技业,3200.HK
6082 HK,壁仞科技,AI算力,Information Technology,资讯科技业,6082.HK
9903 HK,天数智芯,AI算力,Information Technology,资讯科技业,9903.HK
6809 HK,澜起科技,AI算力,Information Technology,资讯科技业,6809.HK
3986 HK,兆易创新,AI算力,Information Technology,资讯科技业,3986.HK
992 HK,联想集团,AI算力,Information Technology,资讯科技业,0992.HK
763 HK,中兴通讯,AI算力,Information Technology,资讯科技业,0763.HK
3296 HK,华勤技术,AI算力,Information Technology,资讯科技业,3296.HK
981 HK,中芯国际,AI算力,Information Technology,资讯科技业,0981.HK
1347 HK,华虹半导体,AI算力,Information Technology,资讯科技业,1347.HK
522 HK,ASMPT,AI算力,Information Technology,资讯科技业,0522.HK
9698 HK,万国数据-SW,AI算力,Information Technology,资讯科技业,9698.HK
3896 HK,金山云,AI算力,Information Technology,资讯科技业,3896.HK
VNET US,世纪互联,AI算力,Information Technology,资讯科技业,
285 HK,比亚迪电子,消费电子,Information Technology,非必需性消费,0285.HK
1415 HK,高伟电子,消费电子,Information Technology,资讯科技业,1415.HK
2382 HK,舜宇光学科技,消费电子,Information Technology,资讯科技业,2382.HK
6613 HK,蓝思科技,消费电子,Information Technology,资讯科技业,6613.HK
1478 HK,丘钛科技,消费电子,Information Technology,资讯科技业,1478.HK
3277 HK,长光辰芯,消费电子,Information Technology,资讯科技业,3277.HK
3393 HK,威胜控股,消费电子,Information Technology,资讯科技业,3393.HK
2018 HK,瑞声科技,消费电子,Information Technology,资讯科技业,2018.HK
1810 HK,小米集团-W,消费电子,Information Technology,资讯科技业,1810.HK
