Ticker,Code,Name,Sector,SubIndustry,SWL1,SWL3,AvgAmtQian,LatestDate
688012.SH,688012,中微公司,电子,半导体设备,7605,76050107,9119208.0,20260618
600549.SH,600549,厦门钨业,有色金属,钨,7604,76040402,9063584.0,20260618
300666.SZ,300666,江丰电子,电子,半导体材料,7605,76050102,9021994.0,20260618
688498.SH,688498,源杰科技,电子,分立器件,7605,76050101,8981008.0,20260618
300475.SZ,300475,香农芯创,电子,其他电子,7605,76050401,8867757.0,20260618
002156.SZ,002156,通富微电,电子,集成电路封测,7605,76050106,8490879.0,20260618
001309.SZ,001309,德明利,计算机,其他计算机设备,760p,760p0102,8472648.0,20260618
000063.SZ,000063,中兴通讯,通信,通信网络设备及器件,760r,760r0201,8368301.0,20260618
603993.SH,603993,洛阳钼业,有色金属,钼,7604,76040404,8365796.0,20260618
002436.SZ,002436,兴森科技,电子,印制电路板,7605,76050201,8129312.0,20260618
688126.SH,688126,沪硅产业,电子,半导体材料,7605,76050102,7937063.0,20260618
002407.SZ,002407,多氟多,基础化工,氟化工,7602,76020205,7797727.0,20260618
002371.SZ,002371,北方华创,电子,半导体设备,7605,76050107,7670146.0,20260618
600105.SH,600105,永鼎股份,通信,通信线缆及配套,760r,760r0202,7659947.0,20260618
002008.SZ,002008,大族激光,机械设备,激光设备,760n,760n0503,7590803.0,20260618
300570.SZ,300570,太辰光,通信,通信网络设备及器件,760r,760r0201,7201462.0,20260618
688072.SH,688072,拓荆科技,电子,半导体设备,7605,76050107,7193197.0,20260618
301217.SZ,301217,铜冠铜箔,电力设备,锂电池,760m,760m0501,7063298.0,20260618
601208.SH,601208,东材科技,基础化工,膜材料,7602,76020404,7040436.0,20260618
300059.SZ,300059,东方财富,非银金融,证券,760i,760i0101,7010877.0,20260618
300604.SZ,300604,长川科技,电子,半导体设备,7605,76050107,6940488.0,20260618
688017.SH,688017,绿的谐波,机械设备,机器人,760n,760n0501,6853517.0,20260618
301526.SZ,301526,国际复材,建筑材料,玻纤制造,760k,760k0202,6841261.0,20260618
300223.SZ,300223,北京君正,电子,数字芯片设计,7605,76050103,6831914.0,20260618
600111.SH,600111,北方稀土,有色金属,稀土,7604,76040401,6805861.0,20260618
601869.SH,601869,长飞光纤,通信,通信线缆及配套,760r,760r0202,6735822.0,20260618
605358.SH,605358,立昂微,电子,半导体材料,7605,76050102,6715569.0,20260618
300390.SZ,300390,天华新能,有色金属,锂,7604,76040503,6651057.0,20260618
688146.SH,688146,中船特气,电子,半导体材料,7605,76050102,6594460.0,20260618
688347.SH,688347,华虹宏力,电子,集成电路制造,7605,76050105,6297656.0,20260618
601991.SH,601991,大唐发电,公用事业,火力发电,760c,760c0101,6274577.0,20260618
600667.SH,600667,太极实业,建筑装饰,工程咨询服务,760l,760l0501,6189730.0,20260618
000100.SZ,000100,TCL科技,电子,面板,7605,76050301,6178551.0,20260618
000021.SZ,000021,深科技,电子,消费电子零部件及组装,7605,76050502,6105102.0,20260618
002185.SZ,002185,华天科技,电子,集成电路封测,7605,76050106,6103523.0,20260618
300857.SZ,300857,协创数据,电子,消费电子零部件及组装,7605,76050502,6099984.0,20260618
300620.SZ,300620,光库科技,通信,通信网络设备及器件,760r,760r0201,6097937.0,20260618
600378.SH,600378,昊华科技,基础化工,氟化工,7602,76020205,5914518.0,20260618
002409.SZ,002409,雅克科技,电子,半导体材料,7605,76050102,5889024.0,20260618
301511.SZ,301511,德福科技,电力设备,锂电池,760m,760m0501,5851758.0,20260618
300395.SZ,300395,菲利华,国防军工,航空装备,760o,760o0201,5837098.0,20260618
300346.SZ,300346,南大光电,电子,电子化学品,7605,76050601,5769011.0,20260618
002851.SZ,002851,麦格米特,电力设备,其他电源设备,760m,760m0203,5745407.0,20260618
600160.SH,600160,巨化股份,基础化工,氟化工,7602,76020205,5692380.0,20260618
600030.SH,600030,中信证券,非银金融,证券,760i,760i0101,5658903.0,20260618
600703.SH,600703,三安光电,电子,LED,7605,76050302,5647966.0,20260618
002938.SZ,002938,鹏鼎控股,电子,印制电路板,7605,76050201,5647293.0,20260618
300014.SZ,300014,亿纬锂能,电力设备,锂电池,760m,760m0501,5588300.0,20260618
002636.SZ,002636,金安国纪,电子,印制电路板,7605,76050201,5581217.0,20260618
300548.SZ,300548,长芯博创,通信,通信网络设备及器件,760r,760r0201,5542797.0,20260618
601318.SH,601318,中国平安,非银金融,保险,760i,760i0201,5484514.0,20260618
002709.SZ,002709,天赐材料,电力设备,电池化学品,760m,760m0502,5446341.0,20260618
002916.SZ,002916,深南电路,电子,印制电路板,7605,76050201,5397131.0,20260618
688521.SH,688521,芯原股份,电子,数字芯片设计,7605,76050103,5355329.0,20260618
605589.SH,605589,圣泉集团,基础化工,合成树脂,7602,76020403,5314003.0,20260618
603629.SH,603629,利通电子,电子,消费电子零部件及组装,7605,76050502,5289680.0,20260618
600519.SH,600519,贵州茅台,食品饮料,白酒,7608,76080201,5285884.0,20260618
000630.SZ,000630,铜陵有色,有色金属,铜,7604,76040202,5203907.0,20260618
002466.SZ,002466,天齐锂业,有色金属,锂,7604,76040503,5165257.0,20260618
600869.SH,600869,远东股份,电力设备,线缆部件及其他,760m,760m0605,5161325.0,20260618
600392.SH,600392,盛和资源,有色金属,稀土,7604,76040401,5160428.0,20260618
600206.SH,600206,有研新材,电子,半导体材料,7605,76050102,5106412.0,20260618
002460.SZ,002460,赣锋锂业,有色金属,锂,7604,76040503,5104891.0,20260618
603083.SH,603083,剑桥科技,通信,通信终端及配件,760r,760r0203,5077311.0,20260618
688048.SH,688048,长光华芯,电子,分立器件,7605,76050101,4974921.0,20260618
001896.SZ,001896,豫能控股,公用事业,火力发电,760c,760c0101,4958102.0,20260618
002484.SZ,002484,江海股份,电子,被动元件,7605,76050202,4903518.0,20260618
002378.SZ,002378,章源钨业,有色金属,钨,7604,76040402,4897178.0,20260618
300054.SZ,300054,鼎龙股份,电子,电子化学品,7605,76050601,4879218.0,20260618
688183.SH,688183,生益电子,电子,印制电路板,7605,76050201,4848346.0,20260618
603773.SH,603773,沃格光电,电子,面板,7605,76050301,4766411.0,20260618
002050.SZ,002050,三花智控,家用电器,家电零部件,7607,76070601,4749557.0,20260618
688820.SH,688820,盛合晶微,电子,集成电路封测,7605,76050106,4653209.0,20260618
301666.SZ,301666,大普微-UW,电子,数字芯片设计,7605,76050103,4530846.0,20260618
688313.SH,688313,仕佳光子,通信,通信网络设备及器件,760r,760r0201,4485244.0,20260618
002080.SZ,002080,中材科技,建筑材料,玻纤制造,760k,760k0202,4462010.0,20260618
300757.SZ,300757,罗博特科,机械设备,其他自动化设备,760n,760n0504,4457903.0,20260618
600396.SH,600396,华电辽能,公用事业,火力发电,760c,760c0101,4452040.0,20260618
600460.SH,600460,士兰微,电子,分立器件,7605,76050101,4444304.0,20260618
002240.SZ,002240,盛新锂能,有色金属,锂,7604,76040503,4306041.0,20260618
688549.SH,688549,中巨芯-U,电子,电子化学品,7605,76050601,4257356.0,20260618
603256.SH,603256,宏和科技,建筑材料,玻纤制造,760k,760k0202,4251582.0,20260618
301396.SZ,301396,宏景科技,计算机,IT服务,760p,760p0201,4230952.0,20260618
603259.SH,603259,药明康德,医药生物,医疗研发外包,760b,760b0602,4217473.0,20260618
000960.SZ,000960,锡业股份,有色金属,其他小金属,7604,76040403,4183500.0,20260618
688766.SH,688766,普冉股份,电子,数字芯片设计,7605,76050103,4179608.0,20260618
600330.SH,600330,天通股份,机械设备,其他专用设备,760n,760n0206,4151985.0,20260618
002491.SZ,002491,通鼎互联,通信,通信线缆及配套,760r,760r0202,4151475.0,20260618
000831.SZ,000831,中国稀土,有色金属,稀土,7604,76040401,4148435.0,20260618
002837.SZ,002837,英维克,机械设备,其他专用设备,760n,760n0206,4139386.0,20260618
000338.SZ,000338,潍柴动力,汽车,底盘与发动机系统,7606,76060102,4087424.0,20260618
601958.SH,601958,金钼股份,有色金属,钼,7604,76040404,3982968.0,20260618
002138.SZ,002138,顺络电子,电子,被动元件,7605,76050202,3913322.0,20260618
600186.SH,600186,莲花控股,食品饮料,调味发酵品,7608,76080601,3910721.0,20260618
000977.SZ,000977,浪潮信息,计算机,其他计算机设备,760p,760p0102,3881537.0,20260618
300398.SZ,300398,飞凯材料,电子,电子化学品,7605,76050601,3880240.0,20260618
300033.SZ,300033,同花顺,计算机,垂直应用软件,760p,760p0301,3841543.0,20260618
002747.SZ,002747,埃斯顿,机械设备,机器人,760n,760n0501,3821069.0,20260618
600601.SH,600601,方正科技,电子,印制电路板,7605,76050201,3809924.0,20260618
002361.SZ,002361,神剑股份,基础化工,合成树脂,7602,76020403,3796591.0,20260618
002353.SZ,002353,杰瑞股份,机械设备,能源及重型设备,760n,760n0201,3764342.0,20260618
