ticker_raw,name_cn,gics_sector,code
2057 HK,中通快递-W,,2057.HK
1919 HK,中远海控,,1919.HK
2510 HK,德翔海运,,2510.HK
66 HK,港铁公司,,0066.HK
525 HK,广深铁路股份,,0525.HK
177 HK,江苏宁沪高速公路,,0177.HK
144 HK,招商局港口,,0144.HK
6198 HK,青岛港,,6198.HK
548 HK,深圳高速公路股份,,0548.HK
576 HK,浙江沪杭甬,,0576.HK
6936 HK,顺丰控股,,6936.HK
598 HK,中国外运,,0598.HK
1199 HK,中远海运港口,,1199.HK
1519 HK,极兔速递-W,,1519.HK
152 HK,深圳国际,,0152.HK
9699 HK,顺丰同城,,9699.HK
694 HK,北京首都机场股份,,0694.HK
670 HK,中国东方航空股份,,0670.HK
1055 HK,中国南方航空股份,,1055.HK
753 HK,中国国航,,0753.HK
2643 HK,曹操出行,,2643.HK
357 HK,美兰空港,,0357.HK
270 HK,粤海投资,,0270.HK
991 HK,大唐发电,,0991.HK
836 HK,华润电力,,0836.HK
902 HK,华能国际电力股份,,0902.HK
2 HK,中电控股,,0002.HK
1038 HK,长江基建集团,,1038.HK
6 HK,电能实业,,0006.HK
1071 HK,华电国际电力股份,,1071.HK
1816 HK,中广核电力,,1816.HK
3 HK,香港中华煤气,,0003.HK
392 HK,北京控股,,0392.HK
371 HK,北控水务集团,,0371.HK
1811 HK,中广核新能源,,1811.HK
135 HK,昆仑能源,,0135.HK
2380 HK,中国电力,,2380.HK
579 HK,京能清洁能源,,0579.HK
1083 HK,港华智慧能源,,1083.HK
916 HK,龙源电力,,0916.HK
3868 HK,信义能源,,3868.HK
384 HK,中国燃气,,0384.HK
1635 HK,大众公用,,1635.HK
1193 HK,华润燃气,,1193.HK
2688 HK,新奥能源,,2688.HK
1798 HK,大唐新能源,,1798.HK
